pack,variant,lambda,RunM_AICc,RunN_AICc,dAICc_N_minus_M,RunM_chi2,RunN_chi2,angle_RunM_s_to_baseline,angle_RunN_s1_to_baseline,angle_RunN_s2_to_true,angle_RunN_s2_to_true_abs
boehme,baseline,0.0,53.32311160999351,77.4419511830755,24.118839573081992,22.533637925782987,14.714678455802774,0.032716877048211836,0.004742738657449165,116.19534651972769,63.80465348027231
boehme,baseline,0.002,59.46527607295746,79.81627308377901,20.35099701082155,28.675802388746934,17.089000356506272,0.49779348226465914,7.361443938667442,158.0048297776324,21.99517022236759
boehme,baseline,0.004,69.24894684055818,80.26180032772993,11.012853487171753,38.45947315634765,17.534527600457196,1.0892704229608807,7.968183150097784,167.50345942551354,12.49654057448646
boehme,baseline,0.006,82.66537171405717,80.39209819044618,-2.273273523610996,51.87589802984665,17.66482546317346,1.8040851370710462,8.297117287393096,169.43531105494054,10.564688945059459
boehme,baseline,0.008,99.70088929952081,80.45163831447206,-19.249250985048747,68.91141561531029,17.72436558719933,2.6237844378726334,8.49403396572584,169.9880208121401,10.011979187859907
boehme,baseline,0.012,144.54508640415276,80.50723427532691,-64.03785212882585,113.75561271994223,17.779961548054185,4.8795687762875835,8.69013823097097,170.2929816009946,9.707018399005392
boehme,baseline,0.016,203.46540896510274,80.53354465311472,-122.93186431198802,172.67593528089222,17.806271925841983,8.483711628164412,8.674986651503042,170.48079784116726,9.51920215883274
boehme,baseline,0.02,275.48611119239274,80.54869151274318,-194.93741967964957,244.69663750818225,17.821418785470456,16.13615769457691,8.54790569326491,170.685412407192,9.31458759280801
boehme,2MRS_clean,0.0,53.443210477347485,77.47077376672527,24.027563289377788,22.65373679313696,14.743501039452553,0.002252438215987058,0.003105253977788216,171.8807956469142,8.119204353085792
boehme,2MRS_clean,0.002,59.09906460602047,77.37634770923404,18.27728310321357,28.309590921809946,14.649074981961322,0.9091484623433993,2.378634837689048,171.0316133242174,8.968386675782597
boehme,2MRS_clean,0.004,70.5469657264348,77.18947346262165,6.642507736186843,39.757492042224285,14.46220073534892,2.446348410070249,1.8915314713209053,171.4022918224333,8.597708177566687
boehme,2MRS_clean,0.006,87.54694798389511,77.0836267155496,-10.46332126834551,56.75747429968458,14.356353988276878,4.730808052828294,1.3248919991748918,172.93885432576786,7.061145674232137
boehme,2MRS_clean,0.008,109.69304008885557,77.02030717094686,-32.672732917908704,78.90356640464505,14.293034443674147,7.982615411255468,1.4698622286232639,174.23208126445462,5.767918735545379
boehme,2MRS_clean,0.012,165.78227039245562,76.95043849017111,-88.8318319022845,134.9927967082451,14.223165762898386,21.549772160170605,2.2620092290666585,175.88069134747707,4.119308652522932
boehme,2MRS_clean,0.016,178.38313663872069,76.9133994888144,-101.46973714990628,147.59366295451017,14.186126761541685,82.28194786893249,2.975503139648928,176.86349840128514,3.136501598714858
boehme,2MRS_clean,0.02,179.22842767816434,76.89064822428843,-102.33777945387591,148.43895399395382,14.163375497015702,84.95067540781622,3.68248954883933,177.42125094538437,2.5787490546156278
wagenveld,baseline,0.0,63.444452616446846,87.477150195327,24.032697578880153,32.65497893223632,24.74987746805427,0.008244492133230075,0.0003088348413617187,158.87586423389888,21.12413576610112
wagenveld,baseline,0.002,65.88709522661395,87.8583037246573,21.971208498043353,35.09762154240343,25.13103099738459,0.9738681191780535,7.696869416209839,168.91661744824057,11.083382551759428
wagenveld,baseline,0.004,74.59780667188497,87.77149593309773,13.173689261212758,43.80833298767444,25.04422320582499,1.2992337856919218,10.72503542240249,165.46443100439961,14.535568995600386
wagenveld,baseline,0.006,89.6174305084437,87.69540765006005,-1.9220228583836558,58.82795682423318,24.968134922787325,0.9977052041130824,12.261269756153945,164.0366933505399,15.963306649460094
wagenveld,baseline,0.008,110.9079409214008,87.64997886592573,-23.257962055475062,80.11846723719027,24.922706138653,0.21700953295773784,13.456365721414421,162.9619579525203,17.038042047479706
wagenveld,baseline,0.012,171.55513341915594,87.60166995388994,-83.953463465266,140.76565973494542,24.874397226617205,5.380725720830573,15.030107796250471,161.4965526091395,18.503447390860487
wagenveld,baseline,0.016,190.72970056879925,87.57712882018927,-103.15257174860997,159.94022688458872,24.84985609291654,88.34828864208113,15.738517807324598,160.82117749954642,19.178822500453578
wagenveld,baseline,0.02,190.85598763319797,87.5624662008891,-103.29352143230886,160.06651394898745,24.835193473616368,89.21580212521626,15.970296228863837,160.6021292369425,19.39787076305751
wagenveld,2MRS_clean,0.0,64.65083394147936,88.49624413581174,23.845410194332374,33.86136025726884,25.76897140853901,0.007922400571464448,0.016549367587598035,82.40449330087272,82.40449330087272
wagenveld,2MRS_clean,0.002,71.32894502854688,91.80499265672117,20.476047628174285,40.53947134433636,29.07771992944844,1.6862021771996325,5.955642335516958,145.9210139963311,34.07898600366889
wagenveld,2MRS_clean,0.004,85.21586388669897,92.18425625200558,6.968392365306613,54.42639020248845,29.45698352473285,4.592937057733957,5.956978984981065,167.63385241608503,12.366147583914966
wagenveld,2MRS_clean,0.006,105.60678965816837,92.19550065000334,-13.411289008165028,74.81731597395785,29.468227922730613,9.440910446762093,5.957261982963874,171.9872374183841,8.012762581615902
wagenveld,2MRS_clean,0.008,130.94472546934128,92.18375378564653,-38.76097168369475,100.15525178513076,29.456481058373814,17.439807256864395,5.957388609018477,173.83775398291087,6.1622460170891316
wagenveld,2MRS_clean,0.012,181.86022156802161,92.1601311967315,-89.70009037129012,151.0707478838111,29.43285846945877,46.2522097254063,5.957513351982052,175.55581258476627,4.444187415233728
wagenveld,2MRS_clean,0.016,196.83410203748053,92.14354595609038,-104.69055608139016,166.04462835327,29.41627322881764,89.12393566359465,5.957577747734909,176.37313997609857,3.626860023901429
wagenveld,2MRS_clean,0.02,196.8687062535309,92.13190087894256,-104.73680537458833,166.07923256932037,29.404628151669822,90.26986503109919,5.957617308812237,176.83504669539624,3.164953304603756
