nside,fit_nside,bmin_deg,flux_cut_mjy,footprint_flux_mjy,f_sky,n_src,dipole_amp,dipole_l_deg,dipole_b_deg,angle_to_cmb_deg,delta_dir_deg_vs_prev,delta_amp_vs_prev
128,64,10.0,10.0,10.0,0.41986083984375,911020,0.07747623026241932,127.75698300675145,45.54003703620962,78.72296951749568,nan,nan
128,64,10.0,20.0,10.0,0.41986083984375,571286,0.048583596965496065,131.44553652411963,51.47649972057145,72.35427238269148,6.417655899549395,-0.02889263329692325
128,64,10.0,30.0,10.0,0.41986083984375,430292,0.038025485486419965,132.61549036761028,56.00728757093754,68.13740662855722,4.583139208544079,-0.0105581114790761
128,64,10.0,40.0,10.0,0.41986083984375,349178,0.0324780965114959,129.76196519928507,61.130191006342386,64.5956788305277,5.333361727491251,-0.005547388974924065
128,64,10.0,60.0,10.0,0.41986083984375,256696,0.027460545551315906,125.08591993481708,63.847976658807205,63.35607287370988,3.4697474501243177,-0.005017550960179994
128,64,10.0,80.0,10.0,0.41986083984375,204387,0.031070771538014925,117.72626504419999,55.348011393651994,72.61449635449624,9.266035566902879,0.0036102259866990193
128,64,20.0,10.0,10.0,0.3456827799479167,750744,0.09716508797475978,128.22111048499855,38.513266016753015,84.77423965299336,nan,nan
128,64,20.0,20.0,10.0,0.3456827799479167,471142,0.06533969591744149,131.53667330710346,40.36736992906381,81.91731667716037,3.1609687043471912,-0.0318253920573183
128,64,20.0,30.0,10.0,0.3456827799479167,354797,0.05483808449664811,132.1213022851534,41.188178482303265,80.98509279416892,0.9325806853814264,-0.01050161142079338
128,64,20.0,40.0,10.0,0.3456827799479167,288091,0.04731527979595326,132.13832587024947,42.779587259202884,79.60318024347862,1.591459075341233,-0.007522804700694843
128,64,20.0,60.0,10.0,0.3456827799479167,211883,0.03770864292993641,133.4754448774223,45.0367616204194,77.1709532764794,2.4540512240003056,-0.00960663686601685
128,64,20.0,80.0,10.0,0.3456827799479167,168707,0.03744240007527971,130.63526322636775,44.200081377345825,78.91552473559864,2.187778009183492,-0.0002662428546567064
128,64,30.0,10.0,10.0,0.2643025716145833,575049,0.12070546929675437,123.74227888927231,31.23816053970343,92.92159899483113,nan,nan
128,64,30.0,20.0,10.0,0.2643025716145833,361162,0.08308064295378412,126.084124630711,30.3737621041152,92.82150100316045,2.189227284879739,-0.03762482634297025
128,64,30.0,30.0,10.0,0.2643025716145833,272270,0.06864728965774564,126.37668504330159,30.257361763108662,92.81245868572086,0.278088328297742,-0.014433353296038481
128,64,30.0,40.0,10.0,0.2643025716145833,221201,0.059551518433168846,123.7936940530819,29.49717363748747,94.47725842715292,2.365115664433823,-0.00909577122457679
128,64,30.0,60.0,10.0,0.2643025716145833,162671,0.05199011419540743,117.2081763019604,28.82372293839539,97.38258283395935,5.789347213006311,-0.0075614042377614155
128,64,30.0,80.0,10.0,0.2643025716145833,129596,0.05225505505643272,114.91594026800942,26.922518637464194,99.88213717690913,2.7784287903743876,0.00026494086102529096
